,0
0,bayerische bolkspartei
1,deutschnationale volts partei
2,deutsche volks partei
3,teutschnalionale volkspartei
4,national sozialistische freiheitspartei
5,dkutschnationale volkspartei
6,teutsche volkspartei
7,mitglied des reichstags seit der 2
8,gast der deutschnationalen volkspartei
9,volksrechtpartei
10,deulschnationale volkspartei
11,nationalsozialistische frei heitspartei
12,kommu nistische partei
13,partei
14,von januar 1919 bis juni 1920 mitglied des bayerischen landtags
15,deutschnationale bolkspartei
16,nationalsozialistische deutsche arbeiter partei
17,sozial demokratische partei
18,deutsche volkspariei
19,zentrum
20,mitglied des reichstags seit 1920
21,nationalsozialistische freiheits partei
22,seit 1920 mitglied des reichstags
23,deutsche demokratische partei
24,nationalsozialistische freiheitspartei
25,kommunistische partei
26,wirtschaftliche vereini gung lwirtschaftspartei des deutschen mittelstandesst geboren am 11
27,deutschnationale volkspärtei
28,sozialdemokratische partei
29,deutschnatiormle volkspartei
30,deutschnatiouale volks partei
31,linke kommunisten
32,deutsche demo kratische partei
33,sozias demokratische partei
34,dentschnationale volks partei
35,deutschnatronale volks partei
36,baye rische volkspartei
37,deutsche volkspartei
38,"wirtschaftliche vereinigung
 (reichspartei d deutsch mittelstandes,
 bayer bauern- und mittelstandsbund,
 dentsch-hannoversche partei)"
39,sözialdemokxatische partei
40,sozialdemokratische par tei
41,sozialdemo kratische partei
42,"deutschvölkische freiheits- und
  national sozialist deutsche
  arbeiter-partei
  tvölk arbeitsaemcinschaft)"
43,deutsche vvlkspartei
44,"wirtschaftliche vereinigung
 (reichspartei d deutsch mittelstandes,
 bayer bauern- und mittelstandsbund,
 deutsch-hannoversche partei)"
45,sozialdemokra tische partei
46,reichswahlvorschlag
47,bei keiner partei
48,so zialdemokratische partei
49,wahlkr
50,teutschnationale volkspartei
51,deutsche bauernpartei
52,deutsche volkspartet
53,nationalsozialistische deutsche arbeiterpartei
54,deutschnationale volks partei
55,bayerische volkspartei
56,"deutschvölkische freiheitspartei
 und nationalsozialist deutsche
 arbeiter-partei
 (völk arbeitsgemeinschaft)"
57,deutschnationale volkspartei
58,bayerische volkspartei geboren am 10
59,deutsch nationale volkspartei
60,deutsche demokratische par tei
